Number,Crust_CFL_2017,Crust_LABR_2016,Crust_LAWN_2017,Crust_QFL_2017,Crust_TX_2016,Crust_Per_CFL_2017,Crust_Per_LABR_2016,Crust_Per_LAWN_2017,Crust_Per_QFL_2017,Crust_Per_TX_2016
SOAP-1,2.5,6,8,1.5,6.5,15,50,75,7.5,55
SOAP-10,3,2.5,7.5,4,4.5,20,15,70,30,35
SOAP-100,-1.12E-15,0.5,2.5,0.5,2,-1.20E-13,2.5,15,2.5,12.5
SOAP-101,1.5,0.5,1,1.5,3,7.5,2.5,5,7.5,22.5
SOAP-102,2,0.5,4.5,2,2.5,12.5,2.5,35,10,15
SOAP-103,0.5,1.5,2,-1.93E-14,0.5,2.5,7.5,12.5,1.29E-12,2.5
SOAP-104,0.5,1,2,1,1,2.5,5,15,5,5
SOAP-105,1,2,3,1,1.5,5,12.5,20,5,7.5
SOAP-106,3,0.5,5,5,6.5,20,2.5,40,40,55
SOAP-107,4.68E-14,4.89E-14,0.5,0.5,3.5,2.07E-13,3.20E-13,2.5,2.5,27.5
SOAP-108,-1.09E-14,1,2.66E-15,5.5,2.5,1.98E-13,5,3.86E-13,45,15
SOAP-109,1.84E-14,1,4.97E-14,3,3.5,4.44E-13,5,3.30E-13,20,25
SOAP-11,2.5,-0.136986301,6.5,1.5,4.5,15,-1.347031963,55,7.5,35
SOAP-110,-4.02E-14,2.22E-14,-6.66E-14,2.5,3,4.04E-14,-4.19E-13,-2.25E-13,15,22.5
SOAP-112,4.02E-14,0.5,0.5,1.5,0.5,4.01E-13,2.5,2.5,7.5,2.5
SOAP-113,4.46E-14,0.5,0.5,1.5,1,2.61E-13,2.5,2.5,7.5,5
SOAP-114,8.21E-15,0.5,0.5,-1.10E-13,2,-1.11E-14,2.5,2.5,-6.43E-13,10
SOAP-115,2,1,3.5,0.5,5.5,10,5,25,2.5,45
SOAP-116,2,-9.74E-15,3,4.5,2,12.5,7.17E-14,20,35,12.5
SOAP-117,2.42E-14,5,3.91E-14,1,6.5,-1.41E-13,40,3.01E-13,5,60
SOAP-118,0.5,1,8,6.5,3,2.5,5,75,60,20
SOAP-119,1,-5.30E-15,2,0.5,2.5,5,2.71E-13,12.5,2.5,15
SOAP-12,4,4,6.5,5,5.5,30,30,60,40,45
SOAP-120,1.5,1.60E-14,2.40E-14,1,0.5,10,-4.91E-14,4.15E-13,5,2.5
SOAP-121,0.5,1,0.5,1.5,2.5,2.5,5,2.5,7.5,15
SOAP-122,2.43E-15,-8.85E-15,0.5,0.5,0.5,1.33E-13,9.30E-14,2.5,2.5,2.5
SOAP-123,-3.13E-14,0.5,0.5,3.5,1.5,-2.24E-13,2.5,2.5,25,7.5
SOAP-124,1.5,1.5,5,0.5,2.5,7.5,7.5,40,2.5,20
SOAP-125,-1.04E-14,2,3,2,2,-2.23E-13,12.5,25,12.5,10
SOAP-126,6.43E-15,5.42E-14,1,4.5,4.5,2.59E-13,-8.46E-14,5,35,35
SOAP-127,4.20E-14,1.5,-1.87E-14,3,2.5,6.03E-13,7.5,-1.39E-13,25,15
SOAP-128,3.5,2,4,2.168141593,3.5,25,12.5,30,11.57079646,25
SOAP-129,3,5.5,5.5,4,6.5,20,50,45,30,55
SOAP-13,5,1.136986301,9,5.5,4.5,40,6.347031963,90,45,35
SOAP-130,2,2,3.5,1.5,5,12.5,12.5,25,7.5,40
SOAP-131,1,2,5,4.5,5.5,5,10,40,35,50
SOAP-132,3.5,7.5,6.5,7,7.5,25,70,55,60,70
SOAP-133,5.5,7.5,9,3,8.5,45,70,90,20,85
SOAP-134,6.5,4.5,6,6.5,7.5,60,35,55,60,70
SOAP-135,4.5,3,5.5,6.5,6,35,22.5,45,55,55
SOAP-136,4.5,3.5,6,4,7,35,25,50,30,60
SOAP-137,6.5,7,8,8.5,8,55,65,75,85,80
SOAP-138,5,7.5,5.5,5,7.5,40,70,45,40,70
SOAP-139,4.5,3,9,3,8,35,22.5,90,22.5,80
SOAP-14,1.5,1,2,1,2,10,5,12.5,5,10
SOAP-140,3,4.5,5,4.5,7.5,20,35,40,35,70
SOAP-141,3,3.5,8.5,3,7.5,20,25,85,20,70
SOAP-142,6,2.5,6,6.5,7,50,17.5,50,55,65
SOAP-143,4,4,5.5,6,7,30,40,50,50,60
SOAP-144,6.5,1.136986301,7.5,5,7,55,6.347031963,70,40,60
SOAP-145,4.5,2.5,9,3.5,8,35,15,90,27.5,80
SOAP-146,6,2,6.5,5,7.5,50,12.5,55,40,70
SOAP-147,5,3,4.5,4.5,4,40,22.5,35,35,30
SOAP-148,1.5,5.5,4,1.5,6.5,7.5,45,30,7.5,60
SOAP-149,2.5,7.5,4.5,3,6.5,15,70,35,22.5,55
